Time,HR,Skin_Temp,GSR,AirTemp,Movement,HR_stdv,GSR_stdv,unkown_stdv
2020-11-10 16:19:59,76.36666666666666,92,9.603968478226027e-08,3762814,160,2.6706220665272395,6.745147310708602e-08,4188754.7337369253
2020-11-10 16:20:59,70.49152542372882,92,9.641375872987213e-08,4613298,343,1.5445133220195957,6.38440619055335e-08,3607406.6816209536
2020-11-10 16:21:59,73.23333333333333,91.66666666666667,1.1440685773929264e-07,5596338.25,118,2.1005290338917533,7.533240106780875e-08,3982698.4703637417
2020-11-10 16:22:59,75.16666666666667,91.08333333333333,1.03728959796352e-07,6579378.25,298,3.1684205669211414,6.137418380067972e-08,4950615.953587764
2020-11-10 16:23:59,75,91.08333333333333,9.731743380586427e-08,8899458,269,0.0,5.6093290650866884e-08,7128326.958476231
2020-11-10 16:25:59,,91,8.82458834744095e-08,6870921.75,490,,5.808345362919508e-08,6004530.117055387
2020-11-10 16:26:59,73.23076923076923,91,8.816546081825268e-08,7480738,67,1.8668709383863995,6.087288804809564e-08,5878673.368600734
2020-11-10 16:27:59,73.73684210526316,91,9.639797073877238e-08,7334310.25,500,2.4460947449731054,6.324130670946993e-08,5895338.914161949
2020-11-10 16:28:59,72.8,90.41666666666667,1.122131521025698e-07,4072614.5,314,1.5790292376436015,7.240435368473072e-08,3695401.7558805766
2020-11-10 16:29:59,75.44897959183673,90.08333333333333,1.0767078231719935e-07,5055658.5,502,1.2945919614003025,6.569292001375766e-08,3666660.787838609
2020-11-10 16:30:59,74.43333333333334,90,1.199477817971331e-07,6038698.5,121,1.1599808427536877,7.973726568356186e-08,4362449.264561509
2020-11-10 16:31:59,72.25,90,1.1064908121338387e-07,7936406.5,433,3.775469065780657,6.207451422377122e-08,6256615.247678033
2020-11-10 16:32:59,70.86666666666666,90,1.288282172370508e-07,4815487,173,1.892675942210452,3.38637826549798e-08,5568714.74790759
2020-11-10 16:33:59,73.8,90,1.3412100567403015e-07,5754038.75,232,2.1664102412362563,4.7940025922059336e-08,5110707.858931744
2020-11-10 16:36:59,76.3,90,8.505907537905914e-08,3892119,257,3.179622619116929,3.412509248285723e-08,4572387.392431278
2020-11-10 16:37:59,74.61702127659575,90.08333333333333,7.172969289178133e-08,5254831,680,1.7327040911916878,2.1997294606101264e-08,4712367.327633161
2020-11-10 16:38:59,73.06666666666666,90,1.1520988527440436e-07,5935486.75,77,1.0934146311237816,8.052785724542641e-08,4363068.00954514
2020-11-10 16:39:59,72,90,9.078658177067557e-08,6868914.75,221,1.0645812948447542,6.24252555797046e-08,5130461.379491535
2020-11-10 16:40:59,73.93333333333334,90,1.3127580700087338e-07,8438707,67,1.9821424996424675,5.939189703737444e-08,6760913.769825533
2020-11-10 16:42:59,67.35714285714286,90,1.3296454914536412e-07,2937079.25,34,4.868858419889119,3.027912810389487e-08,2513170.1889968948
2020-11-10 16:43:59,74.55172413793103,90,1.2979694746609102e-07,3620599.5,262,1.620689655172414,3.719091784338268e-08,4403621.03664419
2020-11-10 16:44:59,70.46511627906976,90,1.2927938452746604e-07,4918467.25,52,1.6753873166816629,3.5010372573178315e-08,5878365.139318302
2020-11-10 16:45:59,80.63636363636364,90,1.334409634160273e-07,1968579.5,325,0.7713892158398701,4.079551372509416e-08,459373.3807103433
2020-11-10 16:46:59,75.6,90,1.2567605501210503e-07,2854087.5,86,1.9595917942265424,3.419851882428941e-08,1958003.8542181805
2020-11-10 16:47:59,79.38333333333334,89.33333333333333,1.2553363056320827e-07,3853259.25,88,1.3427790419706274,3.248299452837354e-08,3628017.3103859616
2020-11-10 16:53:59,,86,1.2398318722220474e-07,5961666.75,491,,4.7520855438348956e-08,6305458.948338669
2020-11-10 16:54:59,,86,1.2471855897563765e-07,5609618.75,551,,6.580220434057839e-08,5439874.698619463
2020-11-10 16:57:59,74.6078431372549,85.5,1.2917411315198074e-07,5482975,461,2.77296776935901,5.057248071425458e-08,6011458.85410609
2020-11-10 16:58:59,72.4,85,1.3664319502629416e-07,2140651,540,1.8726095873584185,3.4985667005504704e-08,662374.5605120263
2020-11-10 16:59:59,73.23333333333333,84.91666666666667,1.2725699374022213e-07,2992614.75,152,0.8239471396205517,3.8158706229976834e-08,2329526.051556558
2020-11-10 17:00:59,75.13333333333334,84,1.2486446555354166e-07,4123370.75,84,1.7838784213679537,3.7337102481061687e-08,3924243.3144679866
2020-11-10 17:01:59,76.43333333333334,83.75,1.1727445194082034e-07,5106410.75,234,1.3211947455070943,3.6158695062241707e-08,5619691.577596291
2020-11-10 17:02:59,77.43333333333334,83,1.1744183004340962e-07,1879019,69,1.4647715028479888,3.60549609912362e-08,432059.4433564669
2020-11-10 17:03:59,73.5,82.33333333333333,1.3190425787319596e-07,3025882.75,279,2.7477263328068173,3.8138267791909575e-08,1739373.6222603777
2020-11-10 17:04:59,71,81.75,1.2605025098392348e-07,4025050.75,51,2.0816659994661326,3.67019670573666e-08,3395009.3663245155
2020-11-10 17:05:59,72.93333333333334,80.75,1.2363898829195378e-07,5040342.75,68,1.0934146311237816,3.1523522268719454e-08,5068405.3017537175
2020-11-10 17:07:59,,77.08333333333333,1.1451664539204076e-07,9136598.75,902,,3.834635285402847e-08,6247475.194952132
2020-11-10 17:08:59,,77,9.639248081279934e-08,7054986.75,660,,4.4946119601958416e-08,5884101.363162279
2020-11-10 17:09:59,79,77.16666666666667,8.346787220013411e-08,7686274.5,590,0.0,3.027007990519207e-08,6045411.289677672
2020-11-10 17:11:59,68.86666666666666,78,6.775299707430072e-08,5507495.25,185,1.829996964174774,1.3505723150366154e-08,5397193.576154944
2020-11-10 17:13:59,,78,9.328311916769289e-08,8526471,631,,4.0816806388172904e-08,5173951.45800422
2020-11-10 17:14:59,,78,1.2802443827954476e-07,8726174.75,299,,6.341496027236118e-08,7013993.007527751
2020-11-10 17:15:59,,78,1.32530494446544e-07,5480838.75,321,,5.2160496817748594e-08,5904141.418314325
2020-11-10 17:17:59,,77.08333333333333,1.2585540457119722e-07,6772118.25,833,,3.1452678049515965e-08,6172165.830460503
2020-11-10 17:19:59,148,75.08333333333333,1.1646860815834878e-07,2412817.25,776,0.0,2.4736666113667948e-08,2415060.5643577944
2020-11-10 17:20:59,147.8181818181818,73.25,1.1572967013968203e-07,5444556.5,977,0.5749595745760689,2.3389663692347792e-08,5834680.942846596
2020-11-10 17:21:59,148,70.91666666666667,1.0312164163641704e-07,10604163.75,799,0.0,3.382722375616603e-08,6026935.455899597
2020-11-10 17:22:59,,68.41666666666667,8.974286223129814e-08,6502879.5,755,,3.460478601564745e-08,5683416.121120532
2020-11-10 17:23:59,148,65.41666666666667,1.0573992509454354e-07,8342651,968,0.0,2.9403651053731715e-08,7435118.045234891
2020-11-10 17:24:59,,62.5,8.398998907507831e-08,6196670.75,783,,2.9152921597150437e-08,6175590.080376343
2020-11-10 17:25:59,,59.833333333333336,7.045338241661269e-08,8211902.25,823,,1.4551076852462543e-08,5537391.354750194
2020-11-10 17:28:59,,51.583333333333336,1.4425546827846316e-07,3902973.75,798,,8.904714546927274e-08,4103329.6843912858
2020-11-10 17:29:59,,49.25,1.3167752777234463e-07,2788861.25,925,,7.645723544246959e-08,2806430.1362859877
2020-11-10 17:31:59,,45.5,1.279682154911181e-07,10898593,630,,3.870333429601784e-08,6000235.006473205
2020-11-10 17:33:59,,41.833333333333336,8.873050603103625e-08,3655588.75,565,,4.133697989351466e-08,2778131.6656091353
2020-11-10 17:39:59,,37.25,1.2673424483530433e-07,11215985,377,,5.6225221164003733e-08,5830862.2001348995
2020-11-10 17:40:59,,36.416666666666664,1.2585487706999342e-07,6923885,648,,5.049551896634733e-08,6324974.501972518
2020-11-10 17:41:59,,35.5,1.1831914515492604e-07,8921640.75,507,,5.354928841664244e-08,6248771.407251764
2020-11-10 17:42:59,131.8,34.25,1.0159273700130361e-07,8725020.5,768,1.4236104336041748,5.0450180752398307e-08,4888818.691968055
2020-11-10 17:43:59,,32.25,9.954081195531413e-08,9882204,739,,4.505465940801184e-08,5335352.949323831
2020-11-10 17:46:59,146.10714285714286,,1.2057764174397464e-07,8633780,859,1.5775044875255555,4.1373469047718326e-08,5227319.965285223
2020-11-10 17:47:59,148,,1.193766420267428e-07,7586775.75,576,0.0,6.827341994987097e-08,6168059.037861723
2020-11-10 17:49:59,,,1.1703860176425618e-07,6487459,663,,5.082532616167426e-08,5953400.313943495
2020-11-10 17:50:59,148,,1.1550848312590039e-07,8486054.5,621,0.0,8.054185019954796e-08,5475004.5558387665
2020-11-10 17:51:59,51,,1.1616556630710672e-07,9501834,468,0.0,7.36115521082855e-08,5360807.594127726
2020-11-10 17:52:59,51,,1.323079034089645e-07,9420197.75,633,0.0,8.383275835037197e-08,6015811.584119568
2020-11-10 17:53:59,,,1.431928522217465e-07,7257505.75,679,,8.373372025560142e-08,6395380.887540217
2020-11-10 17:57:59,98,,1.4355699786193462e-07,3989903.5,637,0.0,8.564426905884489e-08,4903098.848757207
2020-11-10 17:58:59,77,,1.2000334080445555e-07,4645752.5,485,0.0,7.739721942594333e-08,3963957.053039204
2020-11-10 18:00:59,,,1.585872649141038e-07,6724489.5,34,,5.713045442168215e-08,4987105.103017005
2020-11-10 18:01:59,,,7.848422239538892e-08,7772854,101,,3.017968853377078e-08,6230113.1620855415
2020-11-10 18:03:59,84.08333333333333,31,1.3841939438717489e-07,5429387.25,103,0.7808471183414986,4.821639353987028e-08,3996908.563961426
2020-11-10 18:04:59,82.76470588235294,35.25,1.3752443928606842e-07,7367068.5,88,7.806704597856941,5.87134277959074e-08,5854122.695891396
2020-11-10 18:05:59,80.40425531914893,41.666666666666664,1.2496606617524822e-07,7545508.5,166,7.67050048151617,4.630856351155011e-08,5896286.962827941
2020-11-10 18:06:59,82.32203389830508,46.666666666666664,1.3086866102942684e-07,4684173.5,51,4.288102096740613,5.361770009843777e-08,4967309.289035891
